"";"TIPO";"TIPO_SERIE";"CO_ANO";"CO_MES";"NO_CLASSIFICACAO";"VL_FOB"
"1";"CORRENTE";"DESSAZONALIZADA";"2023";4;"TOTAL";51251,46774369
"2";"CORRENTE";"ORIGINAL";"2023";4;"TOTAL";46502,429974
"3";"CORRENTE";"DESSAZONALIZADA";"2023";4;NA;51167,998492841
"4";"CORRENTE";"ORIGINAL";"2023";4;NA;46502,391693
"5";"EXP";"DESSAZONALIZADA";"2023";4;"TOTAL";28376,8908366695
"6";"EXP";"ORIGINAL";"2023";4;"TOTAL";27362,183372
"7";"EXP";"DESSAZONALIZADA";"2023";4;NA;28377,8078325313
"8";"EXP";"ORIGINAL";"2023";4;NA;27362,145091
"9";"IMP";"DESSAZONALIZADA";"2023";4;"TOTAL";22874,5769070205
"10";"IMP";"ORIGINAL";"2023";4;"TOTAL";19140,246602
"11";"IMP";"DESSAZONALIZADA";"2023";4;NA;22790,1906603097
"12";"IMP";"ORIGINAL";"2023";4;NA;19140,246602
"13";"SALDO";"DESSAZONALIZADA";"2023";4;"TOTAL";5502,313929649
"14";"SALDO";"ORIGINAL";"2023";4;"TOTAL";8221,93677
"15";"SALDO";"DESSAZONALIZADA";"2023";4;NA;5587,6171722216
"16";"SALDO";"ORIGINAL";"2023";4;NA;8221,898489
"17";"CORRENTE";"DESSAZONALIZADA";"2023";3;"TOTAL";52200,4088874888
"18";"CORRENTE";"ORIGINAL";"2023";3;"TOTAL";54951,690517
"19";"CORRENTE";"DESSAZONALIZADA";"2023";3;NA;52094,5287521763
"20";"CORRENTE";"ORIGINAL";"2023";3;NA;54853,295959
"21";"EXP";"DESSAZONALIZADA";"2023";3;"TOTAL";30413,0431963097
"22";"EXP";"ORIGINAL";"2023";3;"TOTAL";32876,505804
"23";"EXP";"DESSAZONALIZADA";"2023";3;NA;30403,0646233807
"24";"EXP";"ORIGINAL";"2023";3;NA;32876,450371
"25";"IMP";"DESSAZONALIZADA";"2023";3;"TOTAL";21787,3656911791
"26";"IMP";"ORIGINAL";"2023";3;"TOTAL";22075,184713
"27";"IMP";"DESSAZONALIZADA";"2023";3;NA;21691,4641287956
"28";"IMP";"ORIGINAL";"2023";3;NA;21976,845588
"29";"SALDO";"DESSAZONALIZADA";"2023";3;"TOTAL";8625,6775051306
"30";"SALDO";"ORIGINAL";"2023";3;"TOTAL";10801,321091
"31";"SALDO";"DESSAZONALIZADA";"2023";3;NA;8711,6004945851
"32";"SALDO";"ORIGINAL";"2023";3;NA;10899,604783
"33";"CORRENTE";"DESSAZONALIZADA";"2023";2;"TOTAL";47765,9267097242
"34";"CORRENTE";"ORIGINAL";"2023";2;"TOTAL";37936,60262
"35";"CORRENTE";"DESSAZONALIZADA";"2023";2;NA;47694,2661736359
"36";"CORRENTE";"ORIGINAL";"2023";2;NA;37936,58194
"37";"EXP";"DESSAZONALIZADA";"2023";2;"TOTAL";26332,741074212
"38";"EXP";"ORIGINAL";"2023";2;"TOTAL";20261,992331
"39";"EXP";"DESSAZONALIZADA";"2023";2;NA;26346,2996223692
"40";"EXP";"ORIGINAL";"2023";2;NA;20261,971651
"41";"IMP";"DESSAZONALIZADA";"2023";2;"TOTAL";21433,1856355122
"42";"IMP";"ORIGINAL";"2023";2;"TOTAL";17674,610289
"43";"IMP";"DESSAZONALIZADA";"2023";2;NA;21347,9665512667
"44";"IMP";"ORIGINAL";"2023";2;NA;17674,610289
"45";"SALDO";"DESSAZONALIZADA";"2023";2;"TOTAL";4899,5554386998
"46";"SALDO";"ORIGINAL";"2023";2;"TOTAL";2587,382042
"47";"SALDO";"DESSAZONALIZADA";"2023";2;NA;4998,3330711025
"48";"SALDO";"ORIGINAL";"2023";2;NA;2587,361362
"49";"CORRENTE";"DESSAZONALIZADA";"2023";1;"TOTAL";50574,5475388972
"50";"CORRENTE";"ORIGINAL";"2023";1;"TOTAL";43354,132018
"51";"CORRENTE";"DESSAZONALIZADA";"2023";1;NA;50728,194508371
"52";"CORRENTE";"ORIGINAL";"2023";1;NA;43354,132018
"53";"EXP";"DESSAZONALIZADA";"2023";1;"TOTAL";29295,6746723366
"54";"EXP";"ORIGINAL";"2023";1;"TOTAL";22824,990694
"55";"EXP";"DESSAZONALIZADA";"2023";1;NA;29296,6963624888
"56";"EXP";"ORIGINAL";"2023";1;NA;22824,990694
"57";"IMP";"DESSAZONALIZADA";"2023";1;"TOTAL";21278,8728665606
"58";"IMP";"ORIGINAL";"2023";1;"TOTAL";20529,141324
"59";"IMP";"DESSAZONALIZADA";"2023";1;NA;21431,4981458822
"60";"IMP";"ORIGINAL";"2023";1;NA;20529,141324
"61";"SALDO";"DESSAZONALIZADA";"2023";1;"TOTAL";8016,801805776
"62";"SALDO";"ORIGINAL";"2023";1;"TOTAL";2295,84937
"63";"SALDO";"DESSAZONALIZADA";"2023";1;NA;7865,1982166066
"64";"SALDO";"ORIGINAL";"2023";1;NA;2295,84937
"65";"CORRENTE";"ORIGINAL";"2022";12;"TOTAL";48151,438704
"66";"CORRENTE";"DESSAZONALIZADA";"2022";12;NA;51541,4845100818
"67";"CORRENTE";"ORIGINAL";"2022";12;NA;48151,438704
"68";"CORRENTE";"DESSAZONALIZADA";"2022";12;"TOTAL";51183,2043704973
"69";"EXP";"ORIGINAL";"2022";12;"TOTAL";26342,396058
"70";"EXP";"DESSAZONALIZADA";"2022";12;NA;28417,1382841644
"71";"EXP";"ORIGINAL";"2022";12;NA;26342,396058
"72";"EXP";"DESSAZONALIZADA";"2022";12;"TOTAL";28412,3564409062
"73";"IMP";"ORIGINAL";"2022";12;"TOTAL";21809,042646
"74";"IMP";"DESSAZONALIZADA";"2022";12;NA;23124,3462259174
"75";"IMP";"ORIGINAL";"2022";12;NA;21809,042646
"76";"IMP";"DESSAZONALIZADA";"2022";12;"TOTAL";22770,8479295911
"77";"SALDO";"ORIGINAL";"2022";12;"TOTAL";4533,353412
"78";"SALDO";"DESSAZONALIZADA";"2022";12;NA;5292,792058247
"79";"SALDO";"ORIGINAL";"2022";12;NA;4533,353412
"80";"SALDO";"DESSAZONALIZADA";"2022";12;"TOTAL";5641,5085113151
"81";"CORRENTE";"ORIGINAL";"2022";11;"TOTAL";49104,28936
"82";"CORRENTE";"DESSAZONALIZADA";"2022";11;NA;51535,3917977839
"83";"CORRENTE";"ORIGINAL";"2022";11;NA;49104,273745
"84";"CORRENTE";"DESSAZONALIZADA";"2022";11;"TOTAL";52141,2698027872
"85";"EXP";"ORIGINAL";"2022";11;"TOTAL";27652,303451
"86";"EXP";"DESSAZONALIZADA";"2022";11;NA;30256,5491396009
"87";"EXP";"ORIGINAL";"2022";11;NA;27652,287836
"88";"EXP";"DESSAZONALIZADA";"2022";11;"TOTAL";30254,402392428
"89";"IMP";"ORIGINAL";"2022";11;"TOTAL";21451,985909
"90";"IMP";"DESSAZONALIZADA";"2022";11;NA;21278,842658183
"91";"IMP";"ORIGINAL";"2022";11;NA;21451,985909
"92";"IMP";"DESSAZONALIZADA";"2022";11;"TOTAL";21886,8674103592
"93";"SALDO";"ORIGINAL";"2022";11;"TOTAL";6200,317542
"94";"SALDO";"DESSAZONALIZADA";"2022";11;NA;8977,7064814179
"95";"SALDO";"ORIGINAL";"2022";11;NA;6200,301927
"96";"SALDO";"DESSAZONALIZADA";"2022";11;"TOTAL";8367,5349820688
"97";"CORRENTE";"ORIGINAL";"2022";10;"TOTAL";50329,581587
"98";"CORRENTE";"DESSAZONALIZADA";"2022";10;NA;53717,0390758595
"99";"CORRENTE";"ORIGINAL";"2022";10;NA;50329,400759
"100";"CORRENTE";"DESSAZONALIZADA";"2022";10;"TOTAL";53868,2186354587
"101";"EXP";"ORIGINAL";"2022";10;"TOTAL";26852,476461
"102";"EXP";"DESSAZONALIZADA";"2022";10;NA;29662,1088128012
"103";"EXP";"ORIGINAL";"2022";10;NA;26852,476461
"104";"EXP";"DESSAZONALIZADA";"2022";10;"TOTAL";29655,8611295274
"105";"IMP";"ORIGINAL";"2022";10;"TOTAL";23477,105126
"106";"IMP";"DESSAZONALIZADA";"2022";10;NA;24054,9302630583
"107";"IMP";"ORIGINAL";"2022";10;NA;23476,924298
"108";"IMP";"DESSAZONALIZADA";"2022";10;"TOTAL";24212,3575059313
"109";"SALDO";"ORIGINAL";"2022";10;"TOTAL";3375,371335
"110";"SALDO";"DESSAZONALIZADA";"2022";10;NA;5607,1785497429
"111";"SALDO";"ORIGINAL";"2022";10;NA;3375,552163
"112";"SALDO";"DESSAZONALIZADA";"2022";10;"TOTAL";5443,5036235961
"113";"CORRENTE";"ORIGINAL";"2022";9;"TOTAL";53480,045503
"114";"CORRENTE";"DESSAZONALIZADA";"2022";9;NA;53158,195259454
"115";"CORRENTE";"ORIGINAL";"2022";9;NA;53479,962139
"116";"CORRENTE";"DESSAZONALIZADA";"2022";9;"TOTAL";53208,6056466568
"117";"EXP";"ORIGINAL";"2022";9;"TOTAL";28587,334142
"118";"EXP";"DESSAZONALIZADA";"2022";9;NA;28788,2089582418
"119";"EXP";"ORIGINAL";"2022";9;NA;28587,250778
"120";"EXP";"DESSAZONALIZADA";"2022";9;"TOTAL";28783,8999224342
"121";"IMP";"ORIGINAL";"2022";9;"TOTAL";24892,711361
"122";"IMP";"DESSAZONALIZADA";"2022";9;NA;24369,9863012122
"123";"IMP";"ORIGINAL";"2022";9;NA;24892,711361
"124";"IMP";"DESSAZONALIZADA";"2022";9;"TOTAL";24424,7057242226
"125";"SALDO";"ORIGINAL";"2022";9;"TOTAL";3694,622781
"126";"SALDO";"DESSAZONALIZADA";"2022";9;NA;4418,2226570296
"127";"SALDO";"ORIGINAL";"2022";9;NA;3694,539417
"128";"SALDO";"DESSAZONALIZADA";"2022";9;"TOTAL";4359,1941982116
"129";"CORRENTE";"ORIGINAL";"2022";8;"TOTAL";57467,135669
"130";"CORRENTE";"DESSAZONALIZADA";"2022";8;NA;53373,2714703526
"131";"CORRENTE";"ORIGINAL";"2022";8;NA;57467,133527
"132";"CORRENTE";"DESSAZONALIZADA";"2022";8;"TOTAL";53264,87797703
"133";"EXP";"ORIGINAL";"2022";8;"TOTAL";30786,908834
"134";"EXP";"DESSAZONALIZADA";"2022";8;NA;28374,9277108044
"135";"EXP";"ORIGINAL";"2022";8;NA;30786,906963
"136";"EXP";"DESSAZONALIZADA";"2022";8;"TOTAL";28373,3747740191
"137";"IMP";"ORIGINAL";"2022";8;"TOTAL";26680,226835
"138";"IMP";"DESSAZONALIZADA";"2022";8;NA;24998,3437595482
"139";"IMP";"ORIGINAL";"2022";8;NA;26680,226564
"140";"IMP";"DESSAZONALIZADA";"2022";8;"TOTAL";24891,5032030109
"141";"SALDO";"ORIGINAL";"2022";8;"TOTAL";4106,681999
"142";"SALDO";"DESSAZONALIZADA";"2022";8;NA;3376,5839512562
"143";"SALDO";"ORIGINAL";"2022";8;NA;4106,680399
"144";"SALDO";"DESSAZONALIZADA";"2022";8;"TOTAL";3481,8715710082
"145";"CORRENTE";"ORIGINAL";"2022";7;"TOTAL";54331,334665
"146";"CORRENTE";"DESSAZONALIZADA";"2022";7;NA;54898,1441989985
"147";"CORRENTE";"ORIGINAL";"2022";7;NA;54331,334665
"148";"CORRENTE";"DESSAZONALIZADA";"2022";7;"TOTAL";54709,2116960014
"149";"EXP";"ORIGINAL";"2022";7;"TOTAL";29844,32464
"150";"EXP";"DESSAZONALIZADA";"2022";7;NA;29255,347448797
"151";"EXP";"ORIGINAL";"2022";7;NA;29844,32464
"152";"EXP";"DESSAZONALIZADA";"2022";7;"TOTAL";29250,9784156343
"153";"IMP";"ORIGINAL";"2022";7;"TOTAL";24487,010025
"154";"IMP";"DESSAZONALIZADA";"2022";7;NA;25642,7967502015
"155";"IMP";"ORIGINAL";"2022";7;NA;24487,010025
"156";"IMP";"DESSAZONALIZADA";"2022";7;"TOTAL";25458,2332803671
"157";"SALDO";"ORIGINAL";"2022";7;"TOTAL";5357,314615
"158";"SALDO";"DESSAZONALIZADA";"2022";7;NA;3612,5506985955
"159";"SALDO";"ORIGINAL";"2022";7;NA;5357,314615
"160";"SALDO";"DESSAZONALIZADA";"2022";7;"TOTAL";3792,7451352672
"161";"CORRENTE";"ORIGINAL";"2022";6;"TOTAL";56594,453663
"162";"CORRENTE";"DESSAZONALIZADA";"2022";6;NA;54687,7925117466
"163";"CORRENTE";"ORIGINAL";"2022";6;NA;56594,453663
"164";"CORRENTE";"DESSAZONALIZADA";"2022";6;"TOTAL";54759,4145134139
"165";"EXP";"ORIGINAL";"2022";6;"TOTAL";32742,194543
"166";"EXP";"DESSAZONALIZADA";"2022";6;NA;29743,6924019022
"167";"EXP";"ORIGINAL";"2022";6;NA;32742,194543
"168";"EXP";"DESSAZONALIZADA";"2022";6;"TOTAL";29742,8268880809
"169";"IMP";"ORIGINAL";"2022";6;"TOTAL";23852,25912
"170";"IMP";"DESSAZONALIZADA";"2022";6;NA;24944,1001098444
"171";"IMP";"ORIGINAL";"2022";6;NA;23852,25912
"172";"IMP";"DESSAZONALIZADA";"2022";6;"TOTAL";25016,587625333
"173";"SALDO";"ORIGINAL";"2022";6;"TOTAL";8889,935423
"174";"SALDO";"DESSAZONALIZADA";"2022";6;NA;4799,5922920578
"175";"SALDO";"ORIGINAL";"2022";6;NA;8889,935423
"176";"SALDO";"DESSAZONALIZADA";"2022";6;"TOTAL";4726,2392627479
"177";"CORRENTE";"ORIGINAL";"2022";5;"TOTAL";54328,045545
"178";"CORRENTE";"DESSAZONALIZADA";"2022";5;NA;51761,6915745985
"179";"CORRENTE";"ORIGINAL";"2022";5;NA;54328,045545
"180";"CORRENTE";"DESSAZONALIZADA";"2022";5;"TOTAL";51930,5431075676
"181";"EXP";"ORIGINAL";"2022";5;"TOTAL";29642,851197
"182";"EXP";"DESSAZONALIZADA";"2022";5;NA;27201,2578837978
"183";"EXP";"ORIGINAL";"2022";5;NA;29642,851197
"184";"EXP";"DESSAZONALIZADA";"2022";5;"TOTAL";27204,0364862796
"185";"IMP";"ORIGINAL";"2022";5;"TOTAL";24685,194348
"186";"IMP";"DESSAZONALIZADA";"2022";5;NA;24560,4336908007
"187";"IMP";"ORIGINAL";"2022";5;NA;24685,194348
"188";"IMP";"DESSAZONALIZADA";"2022";5;"TOTAL";24726,506621288
"189";"SALDO";"ORIGINAL";"2022";5;"TOTAL";4957,656849
"190";"SALDO";"DESSAZONALIZADA";"2022";5;NA;2640,8241929971
"191";"SALDO";"ORIGINAL";"2022";5;NA;4957,656849
"192";"SALDO";"DESSAZONALIZADA";"2022";5;"TOTAL";2477,5298649916
"193";"CORRENTE";"ORIGINAL";"2022";4;"TOTAL";49712,637488
"194";"CORRENTE";"DESSAZONALIZADA";"2022";4;NA;52933,9091021278
"195";"CORRENTE";"ORIGINAL";"2022";4;NA;49712,637488
"196";"CORRENTE";"DESSAZONALIZADA";"2022";4;"TOTAL";53002,981456656
"197";"EXP";"ORIGINAL";"2022";4;"TOTAL";28969,694687
"198";"EXP";"DESSAZONALIZADA";"2022";4;NA;29117,7728732031
"199";"EXP";"ORIGINAL";"2022";4;NA;28969,694687
"200";"EXP";"DESSAZONALIZADA";"2022";4;"TOTAL";29117,7835104601
"201";"IMP";"ORIGINAL";"2022";4;"TOTAL";20742,942801
"202";"IMP";"DESSAZONALIZADA";"2022";4;NA;23816,1362289247
"203";"IMP";"ORIGINAL";"2022";4;NA;20742,942801
"204";"IMP";"DESSAZONALIZADA";"2022";4;"TOTAL";23885,1979461959
"205";"SALDO";"ORIGINAL";"2022";4;"TOTAL";8226,751886
"206";"SALDO";"DESSAZONALIZADA";"2022";4;NA;5301,6366442784
"207";"SALDO";"ORIGINAL";"2022";4;NA;8226,751886
"208";"SALDO";"DESSAZONALIZADA";"2022";4;"TOTAL";5232,5855642642
"209";"CORRENTE";"ORIGINAL";"2022";3;"TOTAL";51231,459437
"210";"CORRENTE";"DESSAZONALIZADA";"2022";3;NA;50541,7225108661
"211";"CORRENTE";"ORIGINAL";"2022";3;NA;51227,931508
"212";"CORRENTE";"DESSAZONALIZADA";"2022";3;"TOTAL";50592,1132941997
"213";"EXP";"ORIGINAL";"2022";3;"TOTAL";29422,320196
"214";"EXP";"DESSAZONALIZADA";"2022";3;NA;28317,8782940183
"215";"EXP";"ORIGINAL";"2022";3;NA;29422,320196
"216";"EXP";"DESSAZONALIZADA";"2022";3;"TOTAL";28322,9366552063
"217";"IMP";"ORIGINAL";"2022";3;"TOTAL";21809,139241
"218";"IMP";"DESSAZONALIZADA";"2022";3;NA;22223,8442168478
"219";"IMP";"ORIGINAL";"2022";3;NA;21805,611312
"220";"IMP";"DESSAZONALIZADA";"2022";3;"TOTAL";22269,1766389934
"221";"SALDO";"ORIGINAL";"2022";3;"TOTAL";7613,180955
"222";"SALDO";"DESSAZONALIZADA";"2022";3;NA;6094,0340771705
"223";"SALDO";"ORIGINAL";"2022";3;NA;7616,708884
"224";"SALDO";"DESSAZONALIZADA";"2022";3;"TOTAL";6053,7600162129
"225";"CORRENTE";"ORIGINAL";"2022";2;"TOTAL";42397,337756
"226";"CORRENTE";"DESSAZONALIZADA";"2022";2;NA;51251,7704714395
"227";"CORRENTE";"ORIGINAL";"2022";2;NA;42397,301172
"228";"CORRENTE";"DESSAZONALIZADA";"2022";2;"TOTAL";51265,900235223
"229";"EXP";"ORIGINAL";"2022";2;"TOTAL";23513,305117
"230";"EXP";"DESSAZONALIZADA";"2022";2;NA;29563,8362117703
"231";"EXP";"ORIGINAL";"2022";2;NA;23513,268533
"232";"EXP";"DESSAZONALIZADA";"2022";2;"TOTAL";29553,4623720292
"233";"IMP";"ORIGINAL";"2022";2;"TOTAL";18884,032639
"234";"IMP";"DESSAZONALIZADA";"2022";2;NA;21687,9342596692
"235";"IMP";"ORIGINAL";"2022";2;NA;18884,032639
"236";"IMP";"DESSAZONALIZADA";"2022";2;"TOTAL";21712,4378631938
"237";"SALDO";"ORIGINAL";"2022";2;"TOTAL";4629,272478
"238";"SALDO";"DESSAZONALIZADA";"2022";2;NA;7875,9019521011
"239";"SALDO";"ORIGINAL";"2022";2;NA;4629,235894
"240";"SALDO";"DESSAZONALIZADA";"2022";2;"TOTAL";7841,0245088354
"241";"CORRENTE";"ORIGINAL";"2022";1;"TOTAL";39618,965789
"242";"CORRENTE";"DESSAZONALIZADA";"2022";1;NA;47507,7505825819
"243";"CORRENTE";"ORIGINAL";"2022";1;NA;39618,964838
"244";"CORRENTE";"DESSAZONALIZADA";"2022";1;"TOTAL";47455,1159418125
"245";"EXP";"ORIGINAL";"2022";1;"TOTAL";19779,928894
"246";"EXP";"DESSAZONALIZADA";"2022";1;NA;26201,1702358031
"247";"EXP";"ORIGINAL";"2022";1;NA;19779,927943
"248";"EXP";"DESSAZONALIZADA";"2022";1;"TOTAL";26197,9912441427
"249";"IMP";"ORIGINAL";"2022";1;"TOTAL";19839,036895
"250";"IMP";"DESSAZONALIZADA";"2022";1;NA;21306,5803467788
"251";"IMP";"ORIGINAL";"2022";1;NA;19839,036895
"252";"IMP";"DESSAZONALIZADA";"2022";1;"TOTAL";21257,1246976698
"253";"SALDO";"ORIGINAL";"2022";1;"TOTAL";-59,108001
"254";"SALDO";"DESSAZONALIZADA";"2022";1;NA;4894,5898890243
"255";"SALDO";"ORIGINAL";"2022";1;NA;-59,108952
"256";"SALDO";"DESSAZONALIZADA";"2022";1;"TOTAL";4940,8665464729
"257";"CORRENTE";"DESSAZONALIZADA";"2021";12;"TOTAL";45382,6575512005
"258";"CORRENTE";"ORIGINAL";"2021";12;"TOTAL";44851,872827
"259";"CORRENTE";"DESSAZONALIZADA";"2021";12;NA;45822,5974224066
"260";"CORRENTE";"ORIGINAL";"2021";12;NA;44851,840451
"261";"EXP";"DESSAZONALIZADA";"2021";12;"TOTAL";25050,4549666496
"262";"EXP";"ORIGINAL";"2021";12;"TOTAL";24432,406778
"263";"EXP";"DESSAZONALIZADA";"2021";12;NA;25051,5138762431
"264";"EXP";"ORIGINAL";"2021";12;NA;24432,374402
"265";"IMP";"DESSAZONALIZADA";"2021";12;"TOTAL";20332,2025845509
"266";"IMP";"ORIGINAL";"2021";12;"TOTAL";20419,466049
"267";"IMP";"DESSAZONALIZADA";"2021";12;NA;20771,0835461635
"268";"IMP";"ORIGINAL";"2021";12;NA;20419,466049
"269";"SALDO";"DESSAZONALIZADA";"2021";12;"TOTAL";4718,2523820987
"270";"SALDO";"ORIGINAL";"2021";12;"TOTAL";4012,940729
"271";"SALDO";"DESSAZONALIZADA";"2021";12;NA;4280,4303300796
"272";"SALDO";"ORIGINAL";"2021";12;NA;4012,908353
"273";"CORRENTE";"DESSAZONALIZADA";"2021";11;"TOTAL";46139,8379834769
"274";"CORRENTE";"ORIGINAL";"2021";11;"TOTAL";42113,606729
"275";"CORRENTE";"DESSAZONALIZADA";"2021";11;NA;45486,9866212558
"276";"CORRENTE";"ORIGINAL";"2021";11;NA;42113,470404
"277";"EXP";"DESSAZONALIZADA";"2021";11;"TOTAL";23116,5225091306
"278";"EXP";"ORIGINAL";"2021";11;"TOTAL";20501,76621
"279";"EXP";"DESSAZONALIZADA";"2021";11;NA;23120,2792918874
"280";"EXP";"ORIGINAL";"2021";11;NA;20501,629885
"281";"IMP";"DESSAZONALIZADA";"2021";11;"TOTAL";23023,3154743463
"282";"IMP";"ORIGINAL";"2021";11;"TOTAL";21611,840519
"283";"IMP";"DESSAZONALIZADA";"2021";11;NA;22366,7073293684
"284";"IMP";"ORIGINAL";"2021";11;NA;21611,840519
"285";"SALDO";"DESSAZONALIZADA";"2021";11;"TOTAL";93,2070347843018
"286";"SALDO";"ORIGINAL";"2021";11;"TOTAL";-1110,074309
"287";"SALDO";"DESSAZONALIZADA";"2021";11;NA;753,571962519001
"288";"SALDO";"ORIGINAL";"2021";11;NA;-1110,210634
"289";"CORRENTE";"DESSAZONALIZADA";"2021";10;"TOTAL";44363,7843252022
"290";"CORRENTE";"ORIGINAL";"2021";10;"TOTAL";43141,555662
"291";"CORRENTE";"DESSAZONALIZADA";"2021";10;NA;44242,0361081534
"292";"CORRENTE";"ORIGINAL";"2021";10;NA;43141,005662
"293";"EXP";"DESSAZONALIZADA";"2021";10;"TOTAL";23913,1935224121
"294";"EXP";"ORIGINAL";"2021";10;"TOTAL";22602,637234
"295";"EXP";"DESSAZONALIZADA";"2021";10;NA;23916,420243258
"296";"EXP";"ORIGINAL";"2021";10;NA;22602,637234
"297";"IMP";"DESSAZONALIZADA";"2021";10;"TOTAL";20450,5908027901
"298";"IMP";"ORIGINAL";"2021";10;"TOTAL";20538,918428
"299";"IMP";"DESSAZONALIZADA";"2021";10;NA;20325,6158648954
"300";"IMP";"ORIGINAL";"2021";10;NA;20538,368428
"301";"SALDO";"DESSAZONALIZADA";"2021";10;"TOTAL";3462,602719622
"302";"SALDO";"ORIGINAL";"2021";10;"TOTAL";2063,718806
"303";"SALDO";"DESSAZONALIZADA";"2021";10;NA;3590,8043783626
"304";"SALDO";"ORIGINAL";"2021";10;NA;2064,268806
"305";"CORRENTE";"DESSAZONALIZADA";"2021";9;"TOTAL";44205,0822004986
"306";"CORRENTE";"ORIGINAL";"2021";9;"TOTAL";44351,577091
"307";"CORRENTE";"DESSAZONALIZADA";"2021";9;NA;44133,9157897894
"308";"CORRENTE";"ORIGINAL";"2021";9;NA;44351,577091
"309";"EXP";"DESSAZONALIZADA";"2021";9;"TOTAL";24498,9707901998
"310";"EXP";"ORIGINAL";"2021";9;"TOTAL";24376,12951
"311";"EXP";"DESSAZONALIZADA";"2021";9;NA;24501,74925768
"312";"EXP";"ORIGINAL";"2021";9;NA;24376,12951
"313";"IMP";"DESSAZONALIZADA";"2021";9;"TOTAL";19706,1114102988
"314";"IMP";"ORIGINAL";"2021";9;"TOTAL";19975,447581
"315";"IMP";"DESSAZONALIZADA";"2021";9;NA;19632,1665321094
"316";"IMP";"ORIGINAL";"2021";9;NA;19975,447581
"317";"SALDO";"DESSAZONALIZADA";"2021";9;"TOTAL";4792,859379901
"318";"SALDO";"ORIGINAL";"2021";9;"TOTAL";4400,681929
"319";"SALDO";"DESSAZONALIZADA";"2021";9;NA;4869,5827255706
"320";"SALDO";"ORIGINAL";"2021";9;NA;4400,681929
"321";"CORRENTE";"DESSAZONALIZADA";"2021";8;"TOTAL";45170,5808423759
"322";"CORRENTE";"ORIGINAL";"2021";8;"TOTAL";46773,652538
"323";"CORRENTE";"DESSAZONALIZADA";"2021";8;NA;45241,0984515386
"324";"CORRENTE";"ORIGINAL";"2021";8;NA;46773,652538
"325";"EXP";"DESSAZONALIZADA";"2021";8;"TOTAL";26129,3418625079
"326";"EXP";"ORIGINAL";"2021";8;"TOTAL";27216,3759
"327";"EXP";"DESSAZONALIZADA";"2021";8;NA;26131,9820520948
"328";"EXP";"ORIGINAL";"2021";8;NA;27216,3759
"329";"IMP";"DESSAZONALIZADA";"2021";8;"TOTAL";19041,238979868
"330";"IMP";"ORIGINAL";"2021";8;"TOTAL";19557,276638
"331";"IMP";"DESSAZONALIZADA";"2021";8;NA;19109,1163994438
"332";"IMP";"ORIGINAL";"2021";8;NA;19557,276638
"333";"SALDO";"DESSAZONALIZADA";"2021";8;"TOTAL";7088,1028826399
"334";"SALDO";"ORIGINAL";"2021";8;"TOTAL";7659,099262
"335";"SALDO";"DESSAZONALIZADA";"2021";8;NA;7022,865652651
"336";"SALDO";"ORIGINAL";"2021";8;NA;7659,099262
"337";"CORRENTE";"DESSAZONALIZADA";"2021";7;"TOTAL";42162,5359759622
"338";"CORRENTE";"ORIGINAL";"2021";7;"TOTAL";43637,240732
"339";"CORRENTE";"DESSAZONALIZADA";"2021";7;NA;42393,0499100369
"340";"CORRENTE";"ORIGINAL";"2021";7;NA;43637,200936
"341";"EXP";"DESSAZONALIZADA";"2021";7;"TOTAL";24151,4166055037
"342";"EXP";"ORIGINAL";"2021";7;"TOTAL";25508,595503
"343";"EXP";"DESSAZONALIZADA";"2021";7;NA;24153,2623620125
"344";"EXP";"ORIGINAL";"2021";7;NA;25508,593503
"345";"IMP";"DESSAZONALIZADA";"2021";7;"TOTAL";18011,1193704585
"346";"IMP";"ORIGINAL";"2021";7;"TOTAL";18128,645229
"347";"IMP";"DESSAZONALIZADA";"2021";7;NA;18239,7875480244
"348";"IMP";"ORIGINAL";"2021";7;NA;18128,607433
"349";"SALDO";"DESSAZONALIZADA";"2021";7;"TOTAL";6140,2972350452
"350";"SALDO";"ORIGINAL";"2021";7;"TOTAL";7379,950274
"351";"SALDO";"DESSAZONALIZADA";"2021";7;NA;5913,4748139881
"352";"SALDO";"ORIGINAL";"2021";7;NA;7379,98607
"353";"CORRENTE";"DESSAZONALIZADA";"2021";6;"TOTAL";44887,4495729686
"354";"CORRENTE";"ORIGINAL";"2021";6;"TOTAL";46101,500217
"355";"CORRENTE";"DESSAZONALIZADA";"2021";6;NA;44810,6130337876
"356";"CORRENTE";"ORIGINAL";"2021";6;NA;46101,500217
"357";"EXP";"DESSAZONALIZADA";"2021";6;"TOTAL";26015,1384738486
"358";"EXP";"ORIGINAL";"2021";6;"TOTAL";28257,895138
"359";"EXP";"DESSAZONALIZADA";"2021";6;NA;26015,5818191407
"360";"EXP";"ORIGINAL";"2021";6;NA;28257,895138
"361";"IMP";"DESSAZONALIZADA";"2021";6;"TOTAL";18872,31109912
"362";"IMP";"ORIGINAL";"2021";6;"TOTAL";17843,605079
"363";"IMP";"DESSAZONALIZADA";"2021";6;NA;18795,0312146469
"364";"IMP";"ORIGINAL";"2021";6;NA;17843,605079
"365";"SALDO";"DESSAZONALIZADA";"2021";6;"TOTAL";7142,8273747286
"366";"SALDO";"ORIGINAL";"2021";6;"TOTAL";10414,290059
"367";"SALDO";"DESSAZONALIZADA";"2021";6;NA;7220,5506044938
